id,category_slug,category_name,title,description,comment,tags,source,source_id,source_page_url,source_image_url,source_author,source_author_url,source_license,local_path,media_url,bucket_name,object_key,media_kind,mime_type,created_at
1,innovacion,Innovación,Mapa visual de Innovación #1,Referencia visual adecuada para demostrar organización de recursos por etiquetas y categorías.,Imagen recomendada para representar conceptos técnicos y creativos dentro de una constelación.,"innovacion, creatividad, tecnologia, ideas, nexus",unsplash_cdn,innovacion-1,https://unsplash.com,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?q=80&w=800&auto=format&fit=crop,Unsplash Contributor,https://unsplash.com,Unsplash License,backend/static/seed/images/innovacion/innovacion-001.webp,http://localhost:8000/static/seed/images/innovacion/innovacion-001.webp,local-dev,seed/images/innovacion/innovacion-001.webp,IMAGE,image/webp,2026-06-09T07:30:54
2,innovacion,Innovación,Evidencia visual relacionada con Innovación #2,"Nodo útil para validar la vista de detalle, comentarios y guardados.",Este nodo puede servir como referencia inicial para conectar ideas dentro de Nexus.,"innovacion, creatividad, tecnologia, ideas, nexus",unsplash_cdn,innovacion-2,https://unsplash.com,https://images.unsplash.com/photo-1531538606174-0f90ff5dce83?q=80&w=800&auto=format&fit=crop,Unsplash Contributor,https://unsplash.com,Unsplash License,backend/static/seed/images/innovacion/innovacion-002.webp,http://localhost:8000/static/seed/images/innovacion/innovacion-002.webp,local-dev,seed/images/innovacion/innovacion-002.webp,IMAGE,image/webp,2026-06-09T07:30:55
3,innovacion,Innovación,Recurso para constelaciones de Innovación #3,Imagen de prueba para demostrar carga dinámica desde SQL Server y FastAPI.,Nodo visual preparado para probar el flujo de Nexus en ambiente local.,"innovacion, creatividad, tecnologia, ideas, nexus",unsplash_cdn,innovacion-3,https://unsplash.com,https://images.unsplash.com/photo-1519389950473-47ba0277781c?q=80&w=800&auto=format&fit=crop,Unsplash Contributor,https://unsplash.com,Unsplash License,backend/static/seed/images/innovacion/innovacion-003.webp,http://localhost:8000/static/seed/images/innovacion/innovacion-003.webp,local-dev,seed/images/innovacion/innovacion-003.webp,IMAGE,image/webp,2026-06-09T07:30:56
4,innovacion,Innovación,Concepto moderno sobre Innovación #4,Nodo visual preparado para probar el flujo de Nexus en ambiente local.,"Este recurso ayuda a representar visualmente proyectos, evidencias o inspiración tecnológica.","innovacion, creatividad, tecnologia, ideas, nexus",unsplash_cdn,innovacion-4,https://unsplash.com,https://images.unsplash.com/photo-1552664730-d307ca884978?q=80&w=800&auto=format&fit=crop,Unsplash Contributor,https://unsplash.com,Unsplash License,backend/static/seed/images/innovacion/innovacion-004.webp,http://localhost:8000/static/seed/images/innovacion/innovacion-004.webp,local-dev,seed/images/innovacion/innovacion-004.webp,IMAGE,image/webp,2026-06-09T07:30:57
5,innovacion,Innovación,Mapa visual de Innovación #5,Contenido inicial para alimentar la plataforma y probar la API localmente.,"Nodo útil para validar la vista de detalle, comentarios y guardados.","innovacion, creatividad, tecnologia, ideas, nexus",unsplash_cdn,innovacion-5,https://unsplash.com,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?q=80&w=800&auto=format&fit=crop,Unsplash Contributor,https://unsplash.com,Unsplash License,backend/static/seed/images/innovacion/innovacion-005.webp,http://localhost:8000/static/seed/images/innovacion/innovacion-005.webp,local-dev,seed/images/innovacion/innovacion-005.webp,IMAGE,image/webp,2026-06-09T07:30:58
6,cloud-computing,Cloud Computing,Referencia visual sobre Cloud Computing #6,"Nodo útil para validar la vista de detalle, comentarios y guardados.","Nodo útil para validar la vista de detalle, comentarios y guardados.","cloud, aws, infraestructura, servidores, terraform",unsplash_cdn,cloud-computing-6,https://unsplash.com,https://images.unsplash.com/photo-1544197150-b99a580bb7a8?q=80&w=800&auto=format&fit=crop,Unsplash Contributor,https://unsplash.com,Unsplash License,backend/static/seed/images/cloud-computing/cloud-computing-006.webp,http://localhost:8000/static/seed/images/cloud-computing/cloud-computing-006.webp,local-dev,seed/images/cloud-computing/cloud-computing-006.webp,IMAGE,image/webp,2026-06-09T07:30:59
7,cloud-computing,Cloud Computing,Inspiración aplicada a Cloud Computing #7,Contenido inicial para alimentar la plataforma y probar la API localmente.,Imagen de prueba para demostrar carga dinámica desde SQL Server y FastAPI.,"cloud, aws, infraestructura, servidores, terraform",unsplash_cdn,cloud-computing-7,https://unsplash.com,https://images.unsplash.com/photo-1600132806370-bf17e65e942f?q=80&w=800&auto=format&fit=crop,Unsplash Contributor,https://unsplash.com,Unsplash License,backend/static/seed/images/cloud-computing/cloud-computing-007.webp,http://localhost:8000/static/seed/images/cloud-computing/cloud-computing-007.webp,local-dev,seed/images/cloud-computing/cloud-computing-007.webp,IMAGE,image/webp,2026-06-09T07:31:00
8,cloud-computing,Cloud Computing,Evidencia visual relacionada con Cloud Computing #8,Referencia visual adecuada para demostrar organización de recursos por etiquetas y categorías.,Imagen recomendada para representar conceptos técnicos y creativos dentro de una constelación.,"cloud, aws, infraestructura, servidores, terraform",picsum_fallback,cloud-computing-8,https://picsum.photos/seed/cloud-computing-8/800/1200,https://picsum.photos/seed/cloud-computing-8/800/1200,Picsum Photos,https://picsum.photos,Free to use,backend/static/seed/images/cloud-computing/cloud-computing-008.webp,http://localhost:8000/static/seed/images/cloud-computing/cloud-computing-008.webp,local-dev,seed/images/cloud-computing/cloud-computing-008.webp,IMAGE,image/webp,2026-06-09T07:31:03
9,cloud-computing,Cloud Computing,Recurso visual de Cloud Computing #9,Contenido inicial para alimentar la plataforma y probar la API localmente.,Contenido inicial para alimentar la plataforma y probar la API localmente.,"cloud, aws, infraestructura, servidores, terraform",unsplash_cdn,cloud-computing-9,https://unsplash.com,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?q=80&w=800&auto=format&fit=crop,Unsplash Contributor,https://unsplash.com,Unsplash License,backend/static/seed/images/cloud-computing/cloud-computing-009.webp,http://localhost:8000/static/seed/images/cloud-computing/cloud-computing-009.webp,local-dev,seed/images/cloud-computing/cloud-computing-009.webp,IMAGE,image/webp,2026-06-09T07:31:03
10,cloud-computing,Cloud Computing,Concepto moderno sobre Cloud Computing #10,Contenido inicial para alimentar la plataforma y probar la API localmente.,"Este recurso ayuda a representar visualmente proyectos, evidencias o inspiración tecnológica.","cloud, aws, infraestructura, servidores, terraform",unsplash_cdn,cloud-computing-10,https://unsplash.com,https://images.unsplash.com/photo-1451187580459-43490279c0fa?q=80&w=800&auto=format&fit=crop,Unsplash Contributor,https://unsplash.com,Unsplash License,backend/static/seed/images/cloud-computing/cloud-computing-010.webp,http://localhost:8000/static/seed/images/cloud-computing/cloud-computing-010.webp,local-dev,seed/images/cloud-computing/cloud-computing-010.webp,IMAGE,image/webp,2026-06-09T07:31:04
